client_id,segment,neighbourhood,owner_age_band,household,tech_comfort,budget_sensitivity,channel_preference,pets,n_pets,services_used,visits_last_2y,last_visit,satisfaction_prior
MVC-C092,budget_stretched,Ranelagh,18-29,family_with_kids,medium,high,web,"[{""species"": ""Dog"", ""breed"": ""Rescue crossbreed"", ""age_years"": 9.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-001|MVC-023|MVC-014|MVC-008|MVC-004,4,2026-07,4
MVC-C093,time_poor_professional,Terenure,45-59,single,low,low,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 9.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-073|MVC-092|MVC-032|MVC-017,6,2026-06,3
MVC-C094,anxious_first_timer,Rathmines,30-44,family_with_kids,low,low,walk-in,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 7.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-009|MVC-005|MVC-093,7,2026-04,3
MVC-C095,multi_pet,Ranelagh,60+,family_with_kids,medium,high,phone,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 6.5, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 9.4, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 3.8, ""brachycephalic"": false, ""senior"": false}]",3,MVC-093|MVC-044,7,2026-04,4
MVC-C096,brachy_highrisk,Rathgar,45-59,family_with_kids,low,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Shih Tzu"", ""age_years"": 7.8, ""brachycephalic"": true, ""senior"": false}]",1,MVC-060|MVC-023|MVC-092,8,2026-07,5
MVC-C097,new_pet,Donnybrook,18-29,family_with_kids,medium,low,phone,"[{""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 0.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-080|MVC-028|MVC-054,2,2026-05,4
MVC-C098,anxious_first_timer,Rathgar,30-44,family_with_kids,medium,low,web,"[{""species"": ""Bird"", ""breed"": ""Cockatiel"", ""age_years"": 3.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-007|MVC-084,5,2026-06,3
MVC-C099,senior_pet,Rathmines,30-44,family_with_kids,low,medium,web,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 14.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-090|MVC-021|MVC-092|MVC-060,8,2026-06,3
MVC-C100,new_pet,Harold's Cross,30-44,single,high,low,walk-in,"[{""species"": ""Dog"", ""breed"": ""Greyhound (retired)"", ""age_years"": 1.4, ""brachycephalic"": false, ""senior"": false}]",1,MVC-092|MVC-021|MVC-051|MVC-017|MVC-028|MVC-049,6,2026-05,4
MVC-C101,brachy_highrisk,Clonskeagh,30-44,shared_house,high,low,web,"[{""species"": ""Dog"", ""breed"": ""Cavalier King Charles Spaniel"", ""age_years"": 8.6, ""brachycephalic"": true, ""senior"": false}]",1,MVC-058|MVC-047|MVC-063,5,2026-06,4
MVC-C102,budget_stretched,Rathgar,30-44,family_with_kids,low,high,web,"[{""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 7.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-032|MVC-026|MVC-004,2,2026-05,3
MVC-C103,multi_pet,Rathgar,30-44,family_with_kids,medium,medium,web,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 3.7, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 4.6, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 8.2, ""brachycephalic"": false, ""senior"": false}]",3,MVC-044|MVC-006|MVC-040|MVC-029,7,2026-05,4
MVC-C104,budget_stretched,Rathgar,18-29,couple,high,high,walk-in,"[{""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 2.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-003|MVC-030|MVC-006|MVC-025|MVC-087,3,2026-04,3
MVC-C105,time_poor_professional,Portobello,30-44,single,medium,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 5.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-004|MVC-017|MVC-031,7,2026-06,4
MVC-C106,lapsed,Dartry,60+,single,low,low,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 4.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-004|MVC-001|MVC-028|MVC-008,3,2025-06,3
MVC-C107,senior_pet,Rathmines,45-59,single,high,medium,web,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 10.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-092|MVC-060|MVC-010,7,2026-06,3
MVC-C108,brachy_highrisk,Dartry,45-59,family_with_kids,medium,medium,phone,"[{""species"": ""Dog"", ""breed"": ""French Bulldog"", ""age_years"": 7.8, ""brachycephalic"": true, ""senior"": false}]",1,MVC-004|MVC-055,6,2026-06,3
MVC-C109,time_poor_professional,Dartry,60+,single,medium,low,phone,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 8.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-076|MVC-033|MVC-027|MVC-005|MVC-048,3,2026-06,5
MVC-C110,time_poor_professional,Ranelagh,45-59,single,medium,high,web,"[{""species"": ""Dog"", ""breed"": ""Jack Russell"", ""age_years"": 4.4, ""brachycephalic"": false, ""senior"": false}]",1,MVC-073|MVC-010|MVC-075,6,2026-05,5
MVC-C111,budget_stretched,Harold's Cross,30-44,family_with_kids,medium,high,phone,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 2.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-094|MVC-087|MVC-003|MVC-012|MVC-006,2,2026-03,4
MVC-C112,time_poor_professional,Terenure,30-44,single,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 9.7, ""brachycephalic"": false, ""senior"": true}]",1,MVC-093|MVC-076|MVC-029,3,2026-03,4
MVC-C113,anxious_first_timer,Donnybrook,18-29,couple,low,medium,web,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 3.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-026|MVC-080|MVC-001|MVC-082,5,2026-05,5
MVC-C114,new_pet,Clonskeagh,60+,single,medium,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""Border Collie"", ""age_years"": 0.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-082|MVC-050|MVC-026|MVC-014|MVC-034|MVC-004,5,2026-07,4
MVC-C115,budget_stretched,Ranelagh,45-59,family_with_kids,high,high,phone,"[{""species"": ""Dog"", ""breed"": ""Greyhound (retired)"", ""age_years"": 4.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-004|MVC-028|MVC-014,3,2026-05,2
MVC-C116,senior_pet,Ranelagh,60+,couple,high,low,web,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 9.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-030|MVC-006|MVC-012,12,2026-07,4
MVC-C117,time_poor_professional,Donnybrook,60+,shared_house,medium,low,phone,"[{""species"": ""Dog"", ""breed"": ""Jack Russell"", ""age_years"": 2.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-026|MVC-047,7,2026-05,4
MVC-C118,brachy_highrisk,Terenure,45-59,family_with_kids,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Pug"", ""age_years"": 1.5, ""brachycephalic"": true, ""senior"": false}]",1,MVC-054|MVC-067|MVC-004|MVC-051|MVC-008|MVC-092,9,2026-06,3
MVC-C119,time_poor_professional,Milltown,30-44,single,high,low,web,"[{""species"": ""Bird"", ""breed"": ""Canary"", ""age_years"": 7.8, ""brachycephalic"": false, ""senior"": true}]",1,MVC-007|MVC-084,7,2026-03,5
MVC-C120,time_poor_professional,Milltown,45-59,couple,medium,low,web,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 2.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-031|MVC-039|MVC-008|MVC-001|MVC-028,8,2026-06,3
MVC-C121,new_pet,Rathgar,60+,single,medium,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 1.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-036|MVC-006|MVC-003|MVC-030|MVC-012,5,2026-07,4
MVC-C122,senior_pet,Clonskeagh,18-29,family_with_kids,medium,medium,web,"[{""species"": ""Small mammal"", ""breed"": ""Hamster"", ""age_years"": 15.8, ""brachycephalic"": false, ""senior"": true}]",1,MVC-083|MVC-013,5,2026-06,3
MVC-C123,lapsed,Donnybrook,45-59,couple,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 7.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-028|MVC-017,3,2025-01,3
MVC-C124,budget_stretched,Ranelagh,30-44,couple,low,high,walk-in,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 2.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-027|MVC-011,2,2026-07,4
MVC-C125,senior_pet,Terenure,60+,single,low,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 10.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-003|MVC-062|MVC-006|MVC-025|MVC-094,4,2026-06,4
MVC-C126,lapsed,Terenure,18-29,single,medium,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 3.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-003|MVC-016|MVC-030|MVC-094,1,2024-11,3
MVC-C127,new_pet,Ranelagh,45-59,single,low,low,web,"[{""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 1.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-062|MVC-030|MVC-003|MVC-094,2,2026-05,3
MVC-C128,multi_pet,Donnybrook,30-44,family_with_kids,medium,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 1.9, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 2.7, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 6.8, ""brachycephalic"": false, ""senior"": true}]",3,MVC-010|MVC-016|MVC-006|MVC-070|MVC-003|MVC-017,5,2026-04,5
MVC-C129,new_pet,Milltown,30-44,couple,low,medium,web,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 1.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-027|MVC-081,2,2026-07,4
MVC-C130,new_pet,Rathgar,60+,single,low,low,web,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 1.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-020|MVC-081,6,2026-06,4
MVC-C131,lapsed,Rathmines,60+,single,medium,low,web,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 10.2, ""brachycephalic"": false, ""senior"": true}]",1,MVC-004|MVC-032|MVC-026,3,2025-04,2
MVC-C132,brachy_highrisk,Rathmines,18-29,family_with_kids,high,high,web,"[{""species"": ""Dog"", ""breed"": ""Cavalier King Charles Spaniel"", ""age_years"": 3.9, ""brachycephalic"": true, ""senior"": false}]",1,MVC-054|MVC-051|MVC-047,12,2026-06,5
MVC-C133,lapsed,Rathmines,30-44,single,medium,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 5.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-030|MVC-012|MVC-016|MVC-003,3,2025-02,4
MVC-C134,time_poor_professional,Donnybrook,30-44,shared_house,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Border Collie"", ""age_years"": 10.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-070|MVC-043|MVC-092|MVC-023|MVC-073|MVC-004,2,2026-05,5
MVC-C135,senior_pet,Ranelagh,18-29,shared_house,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 12.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-060|MVC-021|MVC-014|MVC-042|MVC-010,8,2026-06,4
MVC-C136,budget_stretched,Rathgar,45-59,family_with_kids,low,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 3.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-085|MVC-026,5,2026-07,2
MVC-C137,anxious_first_timer,Rathmines,30-44,family_with_kids,low,medium,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 7.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-081|MVC-018|MVC-009|MVC-005|MVC-027,7,2026-04,4
MVC-C138,budget_stretched,Milltown,30-44,single,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 4.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-011|MVC-033|MVC-029,3,2026-03,2
MVC-C139,senior_pet,Ranelagh,30-44,single,low,high,phone,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 15.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-090|MVC-021|MVC-067|MVC-060|MVC-039|MVC-092,8,2026-06,4
MVC-C140,anxious_first_timer,Ranelagh,18-29,couple,high,high,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 8.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-028|MVC-080|MVC-031,7,2026-06,3
MVC-C141,anxious_first_timer,Donnybrook,60+,single,low,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 1.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-082|MVC-001,2,2026-04,4
MVC-C142,budget_stretched,Dartry,60+,couple,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 7.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-005|MVC-029,2,2026-06,3
MVC-C143,new_pet,Donnybrook,30-44,couple,medium,medium,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 1.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-028|MVC-037|MVC-026|MVC-017|MVC-023,3,2026-05,3
MVC-C144,budget_stretched,Rathmines,30-44,couple,low,high,phone,"[{""species"": ""Dog"", ""breed"": ""Jack Russell"", ""age_years"": 8.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-001|MVC-028,3,2026-07,3
MVC-C145,senior_pet,Harold's Cross,30-44,single,low,low,phone,"[{""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 11.7, ""brachycephalic"": false, ""senior"": true}]",1,MVC-053|MVC-030|MVC-012|MVC-016|MVC-062|MVC-094,6,2026-05,3
MVC-C146,multi_pet,Ranelagh,30-44,couple,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Jack Russell"", ""age_years"": 6.6, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 1.5, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 5.8, ""brachycephalic"": false, ""senior"": false}]",3,MVC-010|MVC-017|MVC-009|MVC-044|MVC-069,4,2026-06,4
MVC-C147,anxious_first_timer,Terenure,45-59,single,high,high,phone,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 6.4, ""brachycephalic"": false, ""senior"": false}]",1,MVC-024|MVC-009|MVC-027,5,2026-04,4
MVC-C148,senior_pet,Portobello,18-29,shared_house,high,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 11.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-001|MVC-014|MVC-092,7,2026-07,5
MVC-C149,new_pet,Milltown,45-59,couple,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 1.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-026|MVC-037|MVC-050|MVC-001,3,2026-05,4
MVC-C150,multi_pet,Rathmines,30-44,single,high,medium,web,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 6.1, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 4.0, ""brachycephalic"": false, ""senior"": false}]",2,MVC-029|MVC-033,3,2026-06,4
MVC-C151,multi_pet,Donnybrook,60+,couple,medium,low,phone,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 1.3, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 7.3, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 7.1, ""brachycephalic"": false, ""senior"": false}]",3,MVC-040|MVC-029,8,2026-05,4
MVC-C152,brachy_highrisk,Harold's Cross,60+,family_with_kids,medium,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""French Bulldog"", ""age_years"": 10.2, ""brachycephalic"": true, ""senior"": true}]",1,MVC-092|MVC-085|MVC-088,6,2026-05,3
MVC-C153,budget_stretched,Milltown,30-44,single,high,high,phone,"[{""species"": ""Dog"", ""breed"": ""Rescue crossbreed"", ""age_years"": 10.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-001|MVC-085,7,2026-06,2
MVC-C154,new_pet,Portobello,30-44,single,medium,medium,phone,"[{""species"": ""Small mammal"", ""breed"": ""Ferret"", ""age_years"": 1.4, ""brachycephalic"": false, ""senior"": false}]",1,MVC-013|MVC-083,5,2026-05,4
MVC-C155,senior_pet,Portobello,45-59,family_with_kids,medium,low,web,"[{""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 14.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-092|MVC-090,10,2026-05,4
MVC-C156,anxious_first_timer,Terenure,45-59,family_with_kids,high,low,walk-in,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 8.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-002|MVC-033,4,2026-06,4
MVC-C157,anxious_first_timer,Rathgar,45-59,family_with_kids,medium,low,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 10.1, ""brachycephalic"": false, ""senior"": true}]",1,MVC-009|MVC-033|MVC-011|MVC-093,8,2026-05,3
MVC-C158,multi_pet,Terenure,30-44,couple,high,medium,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 5.4, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 6.0, ""brachycephalic"": false, ""senior"": true}, {""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 3.2, ""brachycephalic"": false, ""senior"": false}]",3,MVC-025|MVC-074|MVC-094,4,2026-04,3
MVC-C159,anxious_first_timer,Portobello,30-44,family_with_kids,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 7.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-001|MVC-004|MVC-008|MVC-080|MVC-023,7,2026-03,4
MVC-C160,time_poor_professional,Harold's Cross,18-29,couple,medium,high,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 1.5, ""brachycephalic"": false, ""senior"": false}]",1,MVC-024|MVC-033|MVC-029,8,2026-03,5
MVC-C161,senior_pet,Milltown,30-44,family_with_kids,high,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 11.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-062|MVC-006|MVC-003|MVC-030|MVC-094,11,2026-05,4
MVC-C162,brachy_highrisk,Harold's Cross,60+,shared_house,low,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Boxer"", ""age_years"": 2.5, ""brachycephalic"": true, ""senior"": false}]",1,MVC-004|MVC-092,7,2026-05,4
MVC-C163,budget_stretched,Harold's Cross,45-59,single,low,high,web,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 8.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-018|MVC-033|MVC-009|MVC-089|MVC-002|MVC-027,4,2026-07,3
MVC-C164,budget_stretched,Clonskeagh,18-29,couple,high,high,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 7.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-015|MVC-018|MVC-011|MVC-033|MVC-029,8,2026-07,3
MVC-C165,budget_stretched,Ranelagh,45-59,couple,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 1.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-001|MVC-004|MVC-026|MVC-028,3,2026-05,3
MVC-C166,time_poor_professional,Rathmines,30-44,single,medium,low,phone,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 5.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-023|MVC-092|MVC-077|MVC-017|MVC-014,2,2026-03,5
MVC-C167,new_pet,Rathgar,45-59,couple,high,medium,web,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 0.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-022|MVC-009|MVC-027|MVC-033|MVC-020,4,2026-07,5
MVC-C168,multi_pet,Rathmines,45-59,couple,medium,low,phone,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 5.4, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Labrador"", ""age_years"": 2.2, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 1.9, ""brachycephalic"": false, ""senior"": false}]",3,MVC-010|MVC-009|MVC-044|MVC-069|MVC-042|MVC-032,5,2026-07,4
MVC-C169,time_poor_professional,Clonskeagh,30-44,shared_house,high,low,phone,"[{""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 8.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-044|MVC-048|MVC-078|MVC-005|MVC-029|MVC-009,5,2026-06,5
MVC-C170,time_poor_professional,Milltown,45-59,shared_house,medium,medium,web,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 4.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-069|MVC-039|MVC-004|MVC-017|MVC-072,2,2026-03,3
MVC-C171,lapsed,Rathmines,30-44,couple,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 1.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-009|MVC-029,3,2025-04,2
MVC-C172,new_pet,Ranelagh,30-44,family_with_kids,high,medium,phone,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 0.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-030|MVC-025,3,2026-06,3
MVC-C173,senior_pet,Rathmines,45-59,couple,medium,high,web,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 11.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-046|MVC-019|MVC-008|MVC-004|MVC-021|MVC-092,10,2026-05,3
MVC-C174,budget_stretched,Rathmines,30-44,family_with_kids,medium,high,phone,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 9.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-032|MVC-031|MVC-008|MVC-028,8,2026-03,4
MVC-C175,new_pet,Ranelagh,30-44,single,medium,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Golden Retriever"", ""age_years"": 0.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-017|MVC-031|MVC-080|MVC-049,3,2026-07,5
MVC-C176,new_pet,Harold's Cross,18-29,couple,medium,medium,web,"[{""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 0.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-011|MVC-038|MVC-035|MVC-002,5,2026-07,4
MVC-C177,time_poor_professional,Rathgar,45-59,single,medium,high,phone,"[{""species"": ""Small mammal"", ""breed"": ""Ferret"", ""age_years"": 2.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-083|MVC-013,6,2026-04,4
MVC-C178,anxious_first_timer,Rathgar,45-59,couple,high,high,phone,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 1.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-029|MVC-093|MVC-081|MVC-005|MVC-002|MVC-027,8,2026-07,3
MVC-C179,time_poor_professional,Rathgar,30-44,single,high,medium,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 8.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-048|MVC-078,5,2026-06,5
MVC-C180,senior_pet,Rathgar,30-44,single,medium,high,phone,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 11.0, ""brachycephalic"": false, ""senior"": true}]",1,MVC-044|MVC-011|MVC-002|MVC-048|MVC-015|MVC-024,11,2026-07,4
MVC-C181,senior_pet,Dartry,30-44,single,low,low,walk-in,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 14.0, ""brachycephalic"": false, ""senior"": true}]",1,MVC-048|MVC-064|MVC-066|MVC-044|MVC-022|MVC-020,9,2026-07,3
MVC-C182,senior_pet,Ranelagh,18-29,shared_house,medium,medium,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 14.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-041|MVC-019|MVC-060|MVC-067|MVC-004,6,2026-07,3
MVC-C183,brachy_highrisk,Clonskeagh,45-59,single,high,low,walk-in,"[{""species"": ""Dog"", ""breed"": ""Bulldog"", ""age_years"": 8.0, ""brachycephalic"": true, ""senior"": false}]",1,MVC-055|MVC-056|MVC-008|MVC-023,4,2026-07,5
MVC-C184,anxious_first_timer,Portobello,45-59,single,high,low,phone,"[{""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 2.9, ""brachycephalic"": false, ""senior"": false}]",1,MVC-094|MVC-062,4,2026-04,4
MVC-C185,brachy_highrisk,Rathgar,45-59,couple,high,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Cavalier King Charles Spaniel"", ""age_years"": 2.7, ""brachycephalic"": true, ""senior"": false}]",1,MVC-065|MVC-010|MVC-001|MVC-004|MVC-067,12,2026-07,4
MVC-C186,anxious_first_timer,Rathgar,45-59,single,high,low,phone,"[{""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 5.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-081|MVC-029|MVC-009,6,2026-05,5
